Function,Class,chunks0,chunks1,chunks2,chunks3,chunks4,ct,cube
1010499635,1,2,3,4,3,2,10,6
2969435184,1,2,3,4,3,2,13,8
95374510,1,2,3,4,3,2,13,12
1878002176,1,2,3,4,3,2,11,14
3959384380,1,2,3,3,2,2,14,10
574315776,1,2,3,4,3,2,13,7
1595591423,1,2,4,5,3,2,13,15
866109183,1,2,3,4,4,2,14,10
2551228464,1,2,3,4,3,2,9,7
316558302,1,2,4,4,3,2,16,23
1598835950,0,2,3,4,3,2,12,14
206474250,1,2,3,4,3,2,12,8
1725768211,1,2,3,4,3,2,11,11
3234631856,1,2,3,4,3,2,11,7
1786477417,1,2,3,4,3,2,12,16
3537882828,1,2,4,4,3,2,11,9
1275355101,1,2,3,4,4,2,14,13
3347120120,1,2,3,4,3,2,12,8
909387527,1,2,3,4,3,2,11,8
3955804393,1,2,4,4,3,2,12,9
656997109,0,2,4,4,3,2,14,10
2300746034,1,2,3,4,3,2,9,6
2998042756,1,2,3,4,3,2,11,7
3220057856,1,2,3,4,3,2,11,9
3204431803,1,2,2,3,3,2,9,6
3450555663,1,2,3,5,4,2,13,7
3209769941,1,2,4,5,3,2,13,8
4273412799,1,2,4,5,4,2,14,10
1923760544,1,2,4,5,3,2,13,15
4048811088,1,2,3,4,3,2,11,7
4244655599,1,2,3,4,4,2,13,8
1686347946,1,2,4,4,3,2,15,17
2952405967,1,2,3,5,3,2,12,8
3955439411,1,2,3,4,3,2,13,10
2961125455,1,2,3,3,3,2,10,7
3273179928,0,2,2,3,2,1,10,7
1971123324,1,2,3,4,3,2,12,13
2947478980,1,2,3,3,2,2,12,9
518066657,0,2,4,2,2,2,15,23
3983015920,1,2,4,5,3,2,11,8
1432353791,1,2,3,3,3,2,9,12
1516038656,1,2,3,4,4,2,13,15
3706772978,1,2,3,4,3,2,11,6
4042511330,1,2,4,4,3,2,10,8
3286354411,0,2,4,4,3,2,12,8
1900311398,1,2,3,4,3,2,10,13
2856562597,1,2,4,5,3,2,14,8
1427189037,1,2,3,3,3,2,10,11
3199284793,0,2,4,4,3,2,14,10
2049896640,1,2,4,4,3,2,12,16
718070506,1,2,3,4,3,2,13,9
2718075904,1,2,3,4,4,2,12,8
4264875263,1,2,4,5,4,2,16,10
1729171217,1,2,3,4,3,2,10,10
4134522060,0,2,3,3,2,2,12,10
313785075,1,2,3,5,4,2,13,19
809877696,1,2,3,4,3,2,10,7
3931992959,0,2,4,4,3,2,12,8
1767453443,0,2,4,4,3,2,14,16
4294258960,1,2,3,3,3,2,11,7
3133289459,1,2,3,4,3,2,13,8
4233538048,0,2,4,3,2,2,12,9
1608300021,1,2,4,5,4,2,13,17
3019963130,1,2,3,4,3,2,10,8
224183760,0,2,3,3,3,2,14,8
2577740559,0,2,4,2,2,2,12,8
1225348352,1,2,3,4,3,2,11,11
3221340224,1,2,3,3,3,2,10,5
3485927331,1,2,4,5,3,2,13,8
2846227621,0,2,4,4,3,2,12,8
2297415823,1,2,3,4,3,2,14,8
2800970346,0,2,4,4,3,2,14,10
4233537795,0,2,4,2,2,2,12,8
252671947,1,2,4,4,3,2,10,7
3355767615,1,2,4,4,3,2,10,7
1869582533,0,2,4,4,3,2,14,16
572002704,1,2,3,5,3,2,13,9
2147674346,1,2,3,4,3,2,13,8
2733307743,1,2,4,4,3,2,12,8
1073803569,1,2,3,4,3,2,10,9
3285971194,0,2,3,3,2,2,12,8
4278167893,1,2,3,3,2,2,13,9
1998806789,1,2,3,4,3,2,12,11
2090073904,1,2,3,4,3,2,15,19
3369011336,0,2,3,4,3,2,11,8
3456141956,1,2,3,5,3,2,12,9
263170755,1,2,3,4,3,2,11,8
2368689447,1,2,3,4,3,2,11,7
2241938849,1,2,3,4,3,2,12,8
4006539468,1,2,3,4,3,2,10,8
1077432575,1,2,3,4,3,2,13,13
4293438464,1,2,3,4,4,2,12,12
13009603,1,2,3,3,3,2,15,8
3251437853,1,2,3,4,3,2,9,5
4277978180,1,2,3,4,3,2,11,9
1098047954,0,2,4,4,3,2,14,16
4143971669,1,2,3,4,3,2,11,8
2944357215,0,2,3,4,3,2,11,7
469996435,1,2,3,4,3,2,13,20
2428928214,1,2,4,4,3,2,12,8
2858221813,1,2,3,4,3,2,9,6
2767541461,1,2,3,4,3,2,11,7
1459407974,0,2,4,4,3,2,14,18
494909576,1,2,4,5,4,2,12,21
2936757589,1,2,3,4,3,2,12,8
1998751698,0,2,4,2,2,2,12,14
4009751082,1,2,3,4,3,2,12,9
1460879327,0,2,3,5,4,2,13,13
713594295,1,2,4,4,3,2,13,9
2264892671,1,2,2,3,3,2,9,7
3140701132,0,2,4,4,3,2,12,8
2869433088,1,2,3,4,3,2,13,8
3288315016,0,2,4,4,3,2,14,11
2952424505,0,2,4,4,3,2,13,10
2400694016,1,2,3,4,3,2,14,8
3841718248,1,2,3,4,3,2,14,11
2701098274,0,2,4,4,3,2,12,8
3962306688,1,2,3,4,3,2,11,9
1442818690,1,2,3,3,2,2,9,12
1260275741,0,2,4,4,3,2,14,16
1594514705,1,2,3,4,3,2,10,10
1162172837,1,2,3,4,3,2,14,16
4210717238,1,2,4,3,2,2,11,7
2227970099,1,2,3,3,3,2,11,8
1527474698,1,2,3,4,3,2,11,13
3452913663,1,2,3,4,3,2,11,6
3670603840,1,2,3,5,3,2,13,11
105189120,1,2,3,4,3,2,13,12
4110223874,1,2,3,3,3,2,12,7
1511085342,0,2,4,4,3,2,14,16
3795825587,1,2,3,4,3,2,11,8
4292869149,1,2,3,4,3,2,11,7
